Time,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA,Vector,JspA,JspA(E148A),JspA-HA,JspA(E148A)-HA
760,0.243,0.079,0.186,0.118,0.218,0.255,0.087,0.191,0.114,0.212,0.257,0.081,0.184,0.11,0.229,0.268,0.085,0.191,0.124,0.227
780,0.247,0.08,0.192,0.12,0.225,0.259,0.087,0.198,0.116,0.22,0.262,0.081,0.19,0.111,0.237,0.273,0.085,0.198,0.126,0.235
800,0.252,0.08,0.199,0.122,0.233,0.264,0.087,0.203,0.117,0.226,0.267,0.082,0.197,0.114,0.245,0.277,0.085,0.204,0.128,0.242
820,0.256,0.08,0.205,0.124,0.24,0.268,0.087,0.209,0.119,0.233,0.272,0.082,0.204,0.115,0.251,0.283,0.086,0.211,0.131,0.249
840,0.26,0.08,0.211,0.126,0.244,0.273,0.088,0.217,0.123,0.238,0.276,0.082,0.21,0.117,0.255,0.286,0.086,0.217,0.134,0.254
860,0.265,0.081,0.217,0.129,0.248,0.276,0.088,0.223,0.125,0.243,0.279,0.082,0.216,0.119,0.261,0.291,0.086,0.224,0.137,0.259
880,0.268,0.08,0.223,0.132,0.253,0.28,0.089,0.229,0.128,0.248,0.283,0.082,0.223,0.122,0.265,0.295,0.086,0.231,0.14,0.264
900,0.272,0.08,0.229,0.135,0.258,0.285,0.089,0.235,0.131,0.252,0.287,0.082,0.23,0.125,0.271,0.298,0.087,0.237,0.144,0.269
920,0.276,0.081,0.234,0.137,0.262,0.287,0.088,0.238,0.133,0.256,0.291,0.083,0.235,0.127,0.275,0.302,0.087,0.242,0.146,0.273
940,0.279,0.081,0.238,0.141,0.266,0.291,0.089,0.243,0.137,0.261,0.294,0.083,0.239,0.13,0.279,0.306,0.087,0.246,0.151,0.278
960,0.282,0.081,0.242,0.144,0.27,0.295,0.09,0.247,0.14,0.264,0.298,0.083,0.243,0.133,0.283,0.309,0.088,0.251,0.154,0.281
980,0.286,0.081,0.246,0.147,0.274,0.297,0.089,0.251,0.143,0.267,0.301,0.084,0.248,0.136,0.287,0.313,0.088,0.255,0.157,0.285
1000,0.289,0.081,0.25,0.151,0.278,0.301,0.09,0.255,0.148,0.272,0.305,0.084,0.252,0.139,0.291,0.316,0.088,0.26,0.16,0.289
1020,0.292,0.082,0.254,0.154,0.281,0.305,0.091,0.259,0.15,0.275,0.308,0.084,0.256,0.143,0.295,0.319,0.089,0.264,0.163,0.292
1040,0.295,0.082,0.258,0.157,0.284,0.307,0.091,0.263,0.152,0.278,0.311,0.084,0.26,0.146,0.298,0.322,0.089,0.267,0.166,0.296
1060,0.297,0.082,0.262,0.16,0.288,0.309,0.091,0.266,0.155,0.281,0.313,0.084,0.263,0.15,0.302,0.324,0.089,0.271,0.169,0.299
1080,0.299,0.083,0.265,0.163,0.291,0.311,0.092,0.269,0.159,0.285,0.316,0.085,0.267,0.152,0.305,0.327,0.089,0.274,0.173,0.303
1100,0.301,0.083,0.268,0.167,0.294,0.313,0.092,0.273,0.162,0.288,0.318,0.085,0.27,0.156,0.309,0.328,0.09,0.278,0.178,0.306
1120,0.303,0.083,0.272,0.17,0.297,0.315,0.092,0.276,0.166,0.291,0.32,0.085,0.274,0.158,0.312,0.331,0.09,0.281,0.181,0.309
1140,0.305,0.083,0.274,0.173,0.3,0.316,0.092,0.279,0.17,0.293,0.321,0.085,0.277,0.161,0.315,0.332,0.09,0.284,0.186,0.313
1160,0.307,0.083,0.277,0.177,0.302,0.318,0.093,0.282,0.175,0.296,0.323,0.086,0.28,0.165,0.317,0.334,0.09,0.287,0.19,0.315
1180,0.31,0.084,0.28,0.182,0.304,0.32,0.093,0.284,0.177,0.298,0.324,0.086,0.283,0.169,0.32,0.335,0.091,0.291,0.195,0.317
1200,0.309,0.084,0.282,0.186,0.306,0.32,0.094,0.287,0.181,0.3,0.325,0.087,0.286,0.173,0.322,0.336,0.091,0.294,0.199,0.319
1220,0.31,0.084,0.285,0.189,0.308,0.321,0.094,0.289,0.185,0.302,0.326,0.086,0.289,0.177,0.324,0.336,0.091,0.296,0.203,0.322
1240,0.31,0.084,0.287,0.193,0.31,0.321,0.094,0.292,0.189,0.304,0.326,0.087,0.291,0.181,0.326,0.336,0.092,0.299,0.207,0.323
1260,0.311,0.085,0.29,0.197,0.311,0.32,0.094,0.293,0.192,0.305,0.326,0.087,0.294,0.186,0.328,0.336,0.092,0.302,0.211,0.325
1280,0.311,0.085,0.292,0.201,0.313,0.321,0.095,0.295,0.197,0.307,0.326,0.088,0.297,0.19,0.33,0.335,0.092,0.304,0.216,0.327
1300,0.31,0.085,0.293,0.205,0.315,0.32,0.095,0.297,0.2,0.308,0.325,0.088,0.298,0.193,0.331,0.334,0.092,0.305,0.22,0.328
1320,0.309,0.085,0.295,0.21,0.316,0.32,0.095,0.299,0.204,0.309,0.325,0.088,0.3,0.198,0.332,0.334,0.093,0.308,0.223,0.329
1340,0.309,0.085,0.297,0.212,0.317,0.319,0.096,0.301,0.208,0.31,0.324,0.088,0.302,0.202,0.333,0.333,0.093,0.31,0.227,0.33
1360,0.308,0.085,0.298,0.215,0.317,0.318,0.096,0.302,0.209,0.311,0.323,0.089,0.304,0.206,0.334,0.333,0.093,0.311,0.229,0.331
1380,0.307,0.086,0.3,0.218,0.318,0.319,0.096,0.304,0.212,0.311,0.323,0.089,0.305,0.21,0.334,0.332,0.094,0.313,0.232,0.331
1400,0.307,0.086,0.301,0.22,0.318,0.316,0.096,0.304,0.214,0.31,0.323,0.089,0.307,0.213,0.334,0.332,0.094,0.315,0.234,0.331
1420,0.307,0.086,0.302,0.223,0.318,0.316,0.097,0.307,0.217,0.311,0.322,0.089,0.309,0.216,0.334,0.332,0.094,0.317,0.237,0.331
1440,0.305,0.086,0.304,0.226,0.318,0.316,0.097,0.308,0.219,0.31,0.322,0.089,0.31,0.22,0.334,0.331,0.094,0.318,0.24,0.331
1460,0.305,0.086,0.305,0.228,0.317,0.315,0.098,0.309,0.222,0.31,0.321,0.09,0.312,0.222,0.333,0.331,0.095,0.319,0.243,0.33
